,coconut_id,unique_smiles
205595,CNP0169794,OC1=CC=CC=2C(=CC3=C(OC4=C(C(O)=C(O)C(C=5C=CC=CC5)=C43)C=6C=CC=CC6)C12)C=7C(OC)=C(C(O)=C(O)C7C=8C=CC=CC8)C=9C=CC=CC9
205598,CNP0310436,O=C1C(O)=C(OC2=CC(O)=C(C(O)=C12)C)C=3C=C(O)C(O)=C(O)C3
205599,CNP0319965,O=S1(=O)SCC(O)C1
205601,CNP0082879,O=C1OCC2NC(=O)C=3C=CC=C4O[Fe-3]567(OC8=CC=CC(C(=O)NC1COC(=O)C(NC(=O)C=9C=CC=C(O5)C9O6)COC2=O)=C8O7)OC43
205602,CNP0076349,OC1CC2C3(C)CCC(O)C(C)(C)C3C(O)CC2(C)C4(C)CCC(C14)C(O)(C)CCCC(O)(C)C
205611,CNP0160909,O=C1OC2(C(=O)C(Cl)=C3C=C(OC=C3C2=C1C(OC)(OC)C)C=CC(=CC(C)CC)C)C
205612,CNP0458276,OC=1C=C2C=CC=3C4=CC(OC)=C(OC)C=C4C[NH+](C3C2=CC1OC)C
205613,CNP0147863,C=1C=C(CCC1C)C(C)CCC=C(C)C
205617,CNP0107596,O=CC=1C(O)=C(C(O)=C(C1O)C)C(=O)CC(C)C
205620,CNP0235238,OC1CCC2(C)C3CCC4(C)C(CCC4C53OOC2(C=C5)C1)C(C)CCC(C)C6CC6C
205621,CNP0275229,O=C(N=C1C=CN(C(=O)N1C)C2SC(C(O)C2O)C(O)C(NC(=O)C(N)CO)C(=O)O)N
205622,CNP0215179,O=C1OC(OC)C2COC3(C)C(O)CC2C13
205628,CNP0256541,C=1C=C2NC=C3C2=C(C1)C(C=C(C)C)C(NC)C3
205644,CNP0257750,O=C(OC)C1=CC=CC=2OC(=NC21)C3=CC=CC=4OC(=NC43)C=5C=CC=CC5O
205648,CNP0277472,O=C(OCC1=CC2OC(=O)C(C)C2(O)C(OC(=O)C)C3C(=CCC(OC(=O)C)C3(C)C(OC(=O)C)CC1)C)C
205654,CNP0251552,O=C1OC(=CC(=CC=CC=C(C=CC=C(C=CC23OC3(C)CC(O)CC2(C)C)C)C)C)C=C1CCC4C(=CC(=O)CC4(C)C)C
205659,CNP0221643,OCC1OC(OC2C(OC(C)C(O)C2OC3OC(CO)C(OC4OC(C)C(O)C(O)C4O)C(O)C3O)OC5CCC6(C)C7C=CC8=C9CC(C)(C)CCC9(CO)C(O)CC8(C)C7(C)CCC6C5(C)CO)C(O)C(O)C1O
205660,CNP0314542,O=C1NC(CC2=CNC=3C=CC=CC32)C4C(=C(C)C(C)C5C=CCC(C=C(C)C(O)C(O)CCC(=O)C154)C)C
205662,CNP0267079,O=C(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C34CCC(C)(C)CC4C5=CCC6C7(C)CCC(OC8OCC(O)C(O)C8OC9OC(C)C(O)C(O)C9O)C(C)(C)C7CCC6(C)C5(C)CC3
205667,CNP0309288,OC1=CC=C(C=C1O)CCNC
205670,CNP0203033,O=C1C(=CC2=NC=CC=3C4=CC=CC=C4N1C23)CO
205674,CNP0276259,O=C(OC1OC(CO)C(O)C(O)C1O)C23CCC(C)(C)CC3C4=CCC5C6(C)CCC(OC7OC(COC8OC(CO)C(O)C(O)C8O)C(O)C(O)C7O)C(C)(C)C6CCC5(C)C4(C)CC2
205682,CNP0327879,O=C1C=C(OC=2C=C3OCOC3=C(OC)C12)C=4C=CC=CC4
205691,CNP0185044,O=C1C2=CC=C3OC(C4=CC(OC)=C(O)C(OC)=C4)C(OC3=C2OC5=CC(OC)=CC(O)=C15)CO
205700,CNP0111257,O=C(OC1C(O)C2(C)CCC(O)C34COC5(O)CC6C(OC(=O)C)C23C1(C6(C)C)C54C)C
205702,CNP0166202,O=CC12CCCC(C)(CO)C2CCC34C(=O)C(=C)C(CCC13)C4O
205706,CNP0113657,O=C(N)C=1C=CC=C(O)C1
205711,CNP0347902,O=C1OC(CCCCCCC)C(O)C(O)C=CC(O)CC1
205717,CNP0254746,O=C1C(OC2OC(C)C(O)C(O)C2O)=C(OC=3C1=C(O)C=C(O)C3CC=C(C)C)C=4C=CC(OC)=CC4
205718,CNP0212855,O=C1OC(C(C)C)C23OC3C4OC(=O)C5(C=CCC(C2=C1)(C)C45)C
205721,CNP0074497,O=CCC1CC(C)C(O)C=CC=CCC(OC(=O)CC(C(=O)OCC)C(OC)C1OC2OC(C)C(OC3OC(C)C(OC(=O)CC)C(O)(C)C3)C(N(C)C)C2O)C
205729,CNP0259834,O=C(OC1C(O)C(O)C(OC2C=C(CO)C3C(OC=CC23)OC4OC(CO)C(O)C(O)C4O)OC1C)C=CC5=CC=C(OC)C(O)=C5
205739,CNP0271059,O=C(OC1C(OC(=O)C(C)CC)CC23C4N5CC1(C)C3C5CC67CC(=C)C(C(O)C46O)C(O)C27OC(=O)C)C
205742,CNP0416322,O=C1C(C(=O)CC)=C(O)C(C(O)=C1CC=2C(O)=C(C(O)=C(C2O)C)C(=O)CCC)(C)C
205747,CNP0195532,O=C(OC(C(=C)CO)COC1OC(CO)C(O)C(O)C1O)C=CC2=CC=C(O)C(O)=C2
205750,CNP0175127,O=C1C(OC)=C(OC2=CC(OC)=CC(OC)=C12)C=3C=CC(O)=CC3
205751,CNP0313113,O=C1OC(C(=O)OC)(C(=C1O)C=2C=CC(O)=CC2)CC3=CC=C(O)C(=C3)CC=C(C)C
205757,CNP0421439,O=C(OC1CC2C(CC=C3CC(OC4OC(C)C(OC5OC(C)C(OC6OC(C)C(OC7OC(C)C(O)C(OC)C7O)C(OC)C6O)C(OC)C5)C(OC)C4)CCC32C)C8(O)CCC(C(=O)C)C18C)C(=CC)C
205761,CNP0340359,O=C(OC1C(OC(OC2C(C(=O)OC(CC)C(O)(C)C(O)C(C(=O)C(C)CC(OC3OC(C)C(O)C(N(C)C)C3)(C)C(OC4OC(C)CC(N(C)C)C4O)C2C)C)C)CC1(OC(=O)C)C)C)C
205764,CNP0247133,O=C1OCC23C1=CC(O)CC2C4(C)CC(OC4(C)CC3)C5=COC=C5
205768,CNP0292046,O=C1C=2C=C3C(OC(C)(C)CC3)=CC2OC(C4=CC=C5OC(C)(C)CCC5=C4)C1
205772,CNP0104205,O=C(O)CC(NC(=O)CCCCC)C(=O)NC1C(=O)NC(C(=O)NC2C(=O)N(C(O)CC2)C(C(=O)N(C)C(C(=O)NC(C(=O)OC1C)C(C)C)CC=3C=CC=CC3)CC(C)C)CC4=CC=C(O)C=C4
205773,CNP0180118,O=C(OCC(OC(=O)C)CC1C(=O)OC(CCCCCCCCCC)C1)C
205774,CNP0232387,O=C1OC2C(CCC3(C(=O)C=CC(O)(C)C23)C)C1C
205787,CNP0354022,O=C(OC1(C(=O)C=C2C=C(OCC2C1O)CCC)C)C=3C(OC)=C(Cl)C(O)=C(Cl)C3C
205788,CNP0266385,O=CC(=CC(C=C)C(O)(C)C)C
205789,CNP0204920,O=C1NC=CC=2C=C(OC3CCN(C(=O)C(NC(=O)C(NC)CC=4C=CC=CC4)CC=5C=CC=CC5)C3C(=O)NC1CC=6C=CC=CC6)C=CC2OC
205796,CNP0425334,OC1OC2(C)CCC(O)C1(C)C2CCC34C5NC6C(CCC76CCCC73)C4(C)CCC5C(C)C
205798,CNP0354663,O=C(C(=CC=CC1C(C(=CC)C)C2(OC2C3CC4(OC4CC13)C)C)C)C
205801,CNP0418684,OC=1C=C(OC)C=C(C1)CCC2=CC=C(OC)C(O)=C2CC=C(C)C
205802,CNP0290176,O=C(OCC(NC(=O)C=1C=CC=CC1O)CO)C
205803,CNP0132779,O=C1NC(C(=O)NC=2C(=O)CCC(C12)CC=C(C)C)CC3=CNC4=C3C=CC(O)=C4CC=C(C)C
205805,CNP0337778,O=C(OCCCCCCCCC(C)C)C1=CC(O)=CC=C1N
205808,CNP0212467,O=C(O)C1=C(O)C2=C(OC3(C)CCC4C(C)(C)CCCC4(C)C3C2)C=C1C
205811,CNP0193390,O=C1OC2(C)C3CCC4C(=CCC4)C3N5CC(C)C6CCC2(CC1)C56
205815,CNP0425335,O=C1N2CCC3=CC(OC)=C(OC)C=C3C(O)C2C4=CC=C(OC)C(OC)=C4C1
205816,CNP0296914,O=C1C2=CC=C3OC(C=CC3=C2OC4=C1C=5C=C(OC)C(OC)=CC5OC4)(C)C
205820,CNP0138455,O=C1CC2C(C(=C)CC(O)C(O)C1C)CC2(C)C
205821,CNP0418094,O=C(OC1C(=C)C2C(O)C3(O)CC(=O)C(=C(C(OC(=O)C)C(O)C2(C)CC1)C3(C)C)C)C=CC=4C=CC=CC4
205826,CNP0425336,O=C1OCC=2C(Cl)=C(OC)C(Cl)=C(OC3=C(Cl)C(OC)=C(Cl)C(=C3OC)C)C12
205831,CNP0159480,O=C1C2=C(OC)C=C3OC4C(C3=C2OC(C=5C=CC=CC5)C1)C4(C)C
205833,CNP0391265,O=C1OC(C)C(N=C(O)C(N=C(O)C2N(C(=O)C)CCC2)C(O)C)C(O)=NC(C(O)=NC3C(=O)N(C(O)CC3)C(C(=O)N(C)C(C(O)=NC1C(C)C)CC4=CC=C(O)C=C4)CC=5C=CC=CC5)CC(C)C
205836,CNP0319295,O=C1C(OC=2C1=CC=C3C2COC(OC)(C)C3)=C(C)C
205844,CNP0238717,O=C1C2=CC=C(O)C=C2OC(C3=CC(O)=C(OC)C(=C3)CC=C(C)C)C1
205846,CNP0217791,O1C=CC2=C1CC3(C)C(C)CCC3(C)C2C
